ProjectId,Benchmark (Y/N),ProjectedProjectStart,ProjectedDesignStart,ProjectedDesignCompletion,ProjectedConstructionStart,ProjectedConstructionCompletion,OrgProjectStart,OrgDesignStart,OrgDesignCompletion,OrgConstructionStart,OrgConstructionCompletion,ClientExtProjectStart,ClientExtOrgDesignStart,ClientExtOrgDesignCompletion,ClientExtOrgConstructionStart,ClientExtOrgConstructionCompletion,ActProjectStart,ActDesignStart,ActDesignCompletion,ActConstructionStart,ActConstructionCompletion,ClientExtBaseDesignCompletion,ClientExtBaseConstructionCompletion,DesignBaselineProjectStart,ConstructionBaselineProjectStart,DesignBaselineDesignStart,ConstructionBaselineDesignStart,OrgSchematicDesignCompletion,ProjectedSchematicDesignCompletion,ActSchematicDesignCompletion,DesignBaselineSchematicDesignCompletion,ConstructionBaselineSchematicDesignCompletion,OrgDesignDevelopmentCompletion,ProjectedDesignDevelopmentCompletion,ActDesignDevelopmentCompletion,DesignBaselineDesignDevelopmentCompletion,ConstructionBaselineDesignDevelopmentCompletion,DesignBaselineDesignCompletion,ConstructionBaselineDesignCompletion,DesignBaselineConstructionStart,ConstructionBaselineConstructionStart,DesignBaselineConstructionCompletion,ConstructionBaselineConstructionCompletion,OrgProjectCloseout,ProjectedProjectCloseout,ActProjectCloseout,DesignBaselineProjectCloseout,ConstructionBaselineProjectCloseout,CreatedDate,ModifiedDate
HWQ1190C,Y,2017-06-28 00:00:00.0000000 +00:00,2018-07-10 00:00:00.0000000 +00:00,2020-06-19 00:00:00.0000000 +00:00,2021-03-15 00:00:00.0000000 +00:00,2024-03-12 00:00:00.0000000 +00:00,2017-06-28 00:00:00.0000000 +00:00,2018-07-10 00:00:00.0000000 +00:00,2020-06-19 00:00:00.0000000 +00:00,2021-03-15 00:00:00.0000000 +00:00,2024-03-12 00:00:00.0000000 +00:00,,,,,,2017-06-28 00:00:00.0000000 +00:00,,,,,,,,,,,2019-10-20 00:00:00.0000000 +00:00,2019-10-20 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,2027-03-12 00:00:00.0000000 +00:00,2027-03-12 00:00:00.0000000 +00:00,,,,2017-11-28 07:00:21.1800000 +00:00,2017-11-28 08:57:09.8667677 -05:00
HWQ1197,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-09 15:33:14.4070000 +00:00,2017-11-30 14:50:00.0411071 -05:00
HWQ121B3,Y,2010-08-04 00:00:00.0000000 +00:00,2014-02-04 00:00:00.0000000 +00:00,2018-10-01 00:00:00.0000000 +00:00,2019-08-12 00:00:00.0000000 +00:00,2021-12-08 00:00:00.0000000 +00:00,2010-08-04 00:00:00.0000000 +00:00,2012-01-10 00:00:00.0000000 +00:00,2014-01-08 00:00:00.0000000 +00:00,2014-07-09 00:00:00.0000000 +00:00,2016-07-08 00:00:00.0000000 +00:00,2010-08-04 00:00:00.0000000 +00:00,2016-01-15 00:00:00.0000000 +00:00,2019-01-13 00:00:00.0000000 +00:00,2019-07-14 00:00:00.0000000 +00:00,2021-07-13 00:00:00.0000000 +00:00,2010-08-04 12:00:00.0000000 +00:00,2014-02-04 17:00:00.0000000 +00:00,,,,2018-10-01 00:00:00.0000000 +00:00,2021-12-08 00:00:00.0000000 +00:00,2010-08-04 12:00:00.0000000 +00:00,,2014-02-04 17:00:00.0000000 +00:00,,2013-02-15 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,2016-02-03 00:00:00.0000000 +00:00,,,,,,,2018-10-01 00:00:00.0000000 +00:00,,2019-08-12 00:00:00.0000000 +00:00,,2021-12-08 00:00:00.0000000 +00:00,,2019-07-08 00:00:00.0000000 +00:00,2024-12-08 00:00:00.0000000 +00:00,,2024-12-08 00:00:00.0000000 +00:00,,,
HWQ121B4,Y,2006-10-26 00:00:00.0000000 +00:00,2012-08-22 00:00:00.0000000 +00:00,2015-05-14 00:00:00.0000000 +00:00,2016-02-08 00:00:00.0000000 +00:00,2018-06-06 00:00:00.0000000 +00:00,2006-10-26 00:00:00.0000000 +00:00,2012-08-22 00:00:00.0000000 +00:00,2015-04-01 00:00:00.0000000 +00:00,2015-12-03 00:00:00.0000000 +00:00,2017-12-01 00:00:00.0000000 +00:00,2006-10-26 00:00:00.0000000 +00:00,2012-07-15 00:00:00.0000000 +00:00,2014-09-27 00:00:00.0000000 +00:00,2015-03-31 00:00:00.0000000 +00:00,2019-03-21 00:00:00.0000000 +00:00,2006-10-26 17:00:00.0000000 +00:00,2012-08-22 17:00:00.0000000 +00:00,2015-05-14 00:00:00.0000000 +00:00,2016-02-08 17:00:00.0000000 +00:00,,2015-05-14 00:00:00.0000000 +00:00,2018-06-06 00:00:00.0000000 +00:00,2006-10-26 17:00:00.0000000 +00:00,2006-10-26 17:00:00.0000000 +00:00,2012-08-22 17:00:00.0000000 +00:00,2012-08-22 17:00:00.0000000 +00:00,2014-01-16 00:00:00.0000000 +00:00,2014-01-16 00:00:00.0000000 +00:00,2014-01-16 00:00:00.0000000 +00:00,2014-01-16 00:00:00.0000000 +00:00,2014-01-16 00:00:00.0000000 +00:00,,,,,,2015-05-14 00:00:00.0000000 +00:00,2015-05-14 00:00:00.0000000 +00:00,2016-02-08 17:00:00.0000000 +00:00,2016-02-08 17:00:00.0000000 +00:00,2018-06-06 00:00:00.0000000 +00:00,2018-06-06 00:00:00.0000000 +00:00,2020-12-01 00:00:00.0000000 +00:00,2021-06-06 00:00:00.0000000 +00:00,,2021-06-06 00:00:00.0000000 +00:00,2021-06-06 00:00:00.0000000 +00:00,,2017-09-05 11:11:08.2246540 -04:00
HWQ1682,Y,2006-10-26 00:00:00.0000000 +00:00,2019-01-25 00:00:00.0000000 +00:00,2022-01-24 00:00:00.0000000 +00:00,2022-07-30 00:00:00.0000000 +00:00,2024-07-30 00:00:00.0000000 +00:00,2006-10-26 00:00:00.0000000 +00:00,2008-01-07 00:00:00.0000000 +00:00,2010-01-06 00:00:00.0000000 +00:00,2010-07-01 00:00:00.0000000 +00:00,2012-07-01 00:00:00.0000000 +00:00,2006-10-26 00:00:00.0000000 +00:00,2019-01-25 00:00:00.0000000 +00:00,2022-01-24 00:00:00.0000000 +00:00,2022-07-30 00:00:00.0000000 +00:00,2024-07-30 00:00:00.0000000 +00:00,2006-10-26 00:00:00.0000000 +00:00,,,,,2023-01-24 00:00:00.0000000 +00:00,2024-07-30 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,2025-04-30 00:00:00.0000000 +00:00,2027-08-15 00:00:00.0000000 +00:00,,,,,
HWQ213C,Y,2012-05-14 00:00:00.0000000 +00:00,2013-02-20 00:00:00.0000000 +00:00,2015-04-20 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,2012-05-14 00:00:00.0000000 +00:00,2012-10-02 00:00:00.0000000 +00:00,2013-05-21 00:00:00.0000000 +00:00,2013-09-01 00:00:00.0000000 +00:00,2014-09-02 00:00:00.0000000 +00:00,2012-05-14 00:00:00.0000000 +00:00,2013-02-20 00:00:00.0000000 +00:00,2015-03-19 00:00:00.0000000 +00:00,2015-06-30 00:00:00.0000000 +00:00,2016-06-30 00:00:00.0000000 +00:00,2012-05-14 00:00:00.0000000 +00:00,2013-02-20 00:00:00.0000000 +00:00,2015-04-20 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,2015-04-20 00:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,2012-05-14 00:00:00.0000000 +00:00,2012-05-14 00:00:00.0000000 +00:00,2013-02-20 00:00:00.0000000 +00:00,2013-02-20 00:00:00.0000000 +00:00,2013-03-04 00:00:00.0000000 +00:00,2014-06-04 00:00:00.0000000 +00:00,2014-06-04 00:00:00.0000000 +00:00,2014-06-04 00:00:00.0000000 +00:00,2014-06-04 00:00:00.0000000 +00:00,,,,,,2015-04-20 00:00:00.0000000 +00:00,2015-04-20 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2016-05-09 00:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,2017-11-17 00:00:00.0000000 +00:00,2017-09-01 00:00:00.0000000 +00:00,2020-11-16 00:00:00.0000000 +00:00,,2020-11-16 00:00:00.0000000 +00:00,2020-11-16 00:00:00.0000000 +00:00,,2017-11-29 12:03:33.6118105 -05:00
HWQ233,Y,2008-08-29 00:00:00.0000000 +00:00,2019-07-15 00:00:00.0000000 +00:00,2022-01-15 00:00:00.0000000 +00:00,2022-07-16 00:00:00.0000000 +00:00,2023-07-17 00:00:00.0000000 +00:00,2008-08-29 00:00:00.0000000 +00:00,2010-07-15 00:00:00.0000000 +00:00,2012-01-16 00:00:00.0000000 +00:00,2012-07-16 00:00:00.0000000 +00:00,2013-07-17 00:00:00.0000000 +00:00,2008-08-29 00:00:00.0000000 +00:00,2019-01-13 00:00:00.0000000 +00:00,2021-07-16 00:00:00.0000000 +00:00,2022-01-14 00:00:00.0000000 +00:00,2023-01-15 00:00:00.0000000 +00:00,2008-08-29 12:00:00.0000000 +00:00,,,,,,,,,,,2011-02-15 00:00:00.0000000 +00:00,2020-09-15 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,2016-07-15 00:00:00.0000000 +00:00,2026-07-15 00:00:00.0000000 +00:00,,,,,2017-11-03 10:22:17.2958980 -04:00
HWQ242CW,Y,2002-03-27 00:00:00.0000000 +00:00,2027-03-23 00:00:00.0000000 +00:00,2028-09-21 00:00:00.0000000 +00:00,2029-03-23 00:00:00.0000000 +00:00,2030-09-21 00:00:00.0000000 +00:00,2002-03-27 00:00:00.0000000 +00:00,2010-03-15 00:00:00.0000000 +00:00,2011-09-14 00:00:00.0000000 +00:00,2012-03-15 00:00:00.0000000 +00:00,2013-09-13 00:00:00.0000000 +00:00,2002-03-27 00:00:00.0000000 +00:00,2019-09-04 00:00:00.0000000 +00:00,2021-03-05 00:00:00.0000000 +00:00,2021-09-04 00:00:00.0000000 +00:00,2023-03-05 00:00:00.0000000 +00:00,2002-03-27 12:00:00.0000000 +00:00,,,,,2028-09-21 00:00:00.0000000 +00:00,2030-09-21 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,2031-01-03 00:00:00.0000000 +00:00,2050-11-26 00:00:00.0000000 +00:00,,,,,
HWQ274F1,Y,2017-07-19 00:00:00.0000000 +00:00,2017-08-09 00:00:00.0000000 +00:00,2017-12-30 00:00:00.0000000 +00:00,2018-12-04 00:00:00.0000000 +00:00,2020-12-02 00:00:00.0000000 +00:00,2017-07-19 00:00:00.0000000 +00:00,2017-08-09 00:00:00.0000000 +00:00,2017-12-30 00:00:00.0000000 +00:00,2018-12-04 00:00:00.0000000 +00:00,2020-12-02 00:00:00.0000000 +00:00,2000-08-10 00:00:00.0000000 +00:00,2001-04-01 00:00:00.0000000 +00:00,2015-01-15 00:00:00.0000000 +00:00,2015-09-16 00:00:00.0000000 +00:00,2017-09-16 00:00:00.0000000 +00:00,2017-07-19 00:00:00.0000000 +00:00,2017-08-09 00:00:00.0000000 +00:00,,,,2017-12-30 00:00:00.0000000 +00:00,2020-12-02 00:00:00.0000000 +00:00,2017-07-19 00:00:00.0000000 +00:00,,2017-08-09 00:00:00.0000000 +00:00,,2017-10-23 00:00:00.0000000 +00:00,2017-10-23 00:00:00.0000000 +00:00,2017-10-23 00:00:00.0000000 +00:00,2017-10-23 00:00:00.0000000 +00:00,,,,,,,2017-12-30 00:00:00.0000000 +00:00,,2018-12-04 00:00:00.0000000 +00:00,,2020-12-02 00:00:00.0000000 +00:00,,2023-12-02 00:00:00.0000000 +00:00,2023-12-02 00:00:00.0000000 +00:00,,2023-12-02 00:00:00.0000000 +00:00,,,2017-11-03 09:24:52.8584344 -04:00
HWQ411B,Y,1999-06-07 00:00:00.0000000 +00:00,2012-06-27 00:00:00.0000000 +00:00,2013-12-04 00:00:00.0000000 +00:00,2015-07-27 00:00:00.0000000 +00:00,2018-09-30 00:00:00.0000000 +00:00,1999-06-07 00:00:00.0000000 +00:00,2006-08-31 00:00:00.0000000 +00:00,2008-03-18 00:00:00.0000000 +00:00,2008-09-22 00:00:00.0000000 +00:00,2010-11-14 00:00:00.0000000 +00:00,1999-06-07 00:00:00.0000000 +00:00,2007-03-20 00:00:00.0000000 +00:00,2014-01-05 00:00:00.0000000 +00:00,2014-10-11 00:00:00.0000000 +00:00,2016-12-02 00:00:00.0000000 +00:00,1999-06-07 12:00:00.0000000 +00:00,2007-02-20 12:00:00.0000000 +00:00,2013-12-04 00:00:00.0000000 +00:00,2015-07-27 00:00:00.0000000 +00:00,,2013-12-04 00:00:00.0000000 +00:00,2018-09-30 00:00:00.0000000 +00:00,1999-06-07 12:00:00.0000000 +00:00,1999-06-07 12:00:00.0000000 +00:00,2007-02-20 12:00:00.0000000 +00:00,2007-02-20 12:00:00.0000000 +00:00,2007-12-30 00:00:00.0000000 +00:00,2013-05-04 00:00:00.0000000 +00:00,2013-05-04 00:00:00.0000000 +00:00,2013-05-04 00:00:00.0000000 +00:00,2013-05-04 00:00:00.0000000 +00:00,,,,,,2013-12-04 00:00:00.0000000 +00:00,2013-12-04 00:00:00.0000000 +00:00,2015-07-27 00:00:00.0000000 +00:00,2015-07-27 00:00:00.0000000 +00:00,2018-07-25 00:00:00.0000000 +00:00,2018-07-25 00:00:00.0000000 +00:00,2013-11-14 00:00:00.0000000 +00:00,2021-07-25 00:00:00.0000000 +00:00,,2021-07-25 00:00:00.0000000 +00:00,2021-07-25 00:00:00.0000000 +00:00,,2017-09-19 09:22:06.7435072 -04:00
HWQ631B2,Y,2006-03-15 00:00:00.0000000 +00:00,2008-06-23 00:00:00.0000000 +00:00,2020-01-15 00:00:00.0000000 +00:00,2020-07-15 00:00:00.0000000 +00:00,2022-07-13 00:00:00.0000000 +00:00,2006-03-15 00:00:00.0000000 +00:00,2007-07-02 00:00:00.0000000 +00:00,2009-01-03 00:00:00.0000000 +00:00,2009-07-02 00:00:00.0000000 +00:00,2011-07-03 00:00:00.0000000 +00:00,2006-03-15 00:00:00.0000000 +00:00,2008-10-11 00:00:00.0000000 +00:00,2020-05-04 00:00:00.0000000 +00:00,2020-10-31 00:00:00.0000000 +00:00,2022-11-01 00:00:00.0000000 +00:00,2006-03-15 00:00:00.0000000 +00:00,2008-06-23 00:00:00.0000000 +00:00,,,,2020-01-15 00:00:00.0000000 +00:00,2012-06-13 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-15 10:34:45.4446208 -04:00
HWQ631B3,Y,2007-03-15 00:00:00.0000000 +00:00,2019-01-15 00:00:00.0000000 +00:00,2021-02-23 00:00:00.0000000 +00:00,2021-08-25 00:00:00.0000000 +00:00,2023-08-24 00:00:00.0000000 +00:00,2007-03-15 00:00:00.0000000 +00:00,2013-07-11 00:00:00.0000000 +00:00,2015-08-20 00:00:00.0000000 +00:00,2016-02-19 00:00:00.0000000 +00:00,2018-02-17 00:00:00.0000000 +00:00,2007-03-15 00:00:00.0000000 +00:00,2019-01-15 00:00:00.0000000 +00:00,2020-01-15 00:00:00.0000000 +00:00,2020-07-15 00:00:00.0000000 +00:00,2021-07-15 00:00:00.0000000 +00:00,2007-03-15 12:00:00.0000000 +00:00,,,,,2021-02-23 00:00:00.0000000 +00:00,2023-08-24 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWQ708,Y,2004-09-13 00:00:00.0000000 +00:00,2019-11-23 00:00:00.0000000 +00:00,2022-08-30 00:00:00.0000000 +00:00,2023-07-14 00:00:00.0000000 +00:00,2025-01-12 00:00:00.0000000 +00:00,2004-09-13 00:00:00.0000000 +00:00,2005-03-15 00:00:00.0000000 +00:00,2007-03-15 00:00:00.0000000 +00:00,2007-09-15 00:00:00.0000000 +00:00,2009-03-14 00:00:00.0000000 +00:00,2004-09-13 00:00:00.0000000 +00:00,2011-11-23 00:00:00.0000000 +00:00,2021-03-18 00:00:00.0000000 +00:00,2021-09-18 00:00:00.0000000 +00:00,2025-07-04 00:00:00.0000000 +00:00,2004-09-13 00:00:00.0000000 +00:00,,,,,2022-08-30 00:00:00.0000000 +00:00,,2004-09-13 00:00:00.0000000 +00:00,,,,2006-12-15 00:00:00.0000000 +00:00,2021-11-30 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,2012-03-12 00:00:00.0000000 +00:00,2028-01-10 00:00:00.0000000 +00:00,,,,,2017-09-14 09:29:17.5046114 -04:00
HWQ724B,Y,2005-02-09 00:00:00.0000000 +00:00,2013-02-13 00:00:00.0000000 +00:00,2018-12-12 00:00:00.0000000 +00:00,2019-09-20 00:00:00.0000000 +00:00,2022-09-20 00:00:00.0000000 +00:00,2005-02-09 00:00:00.0000000 +00:00,2013-02-13 00:00:00.0000000 +00:00,2017-10-30 00:00:00.0000000 +00:00,2018-08-20 00:00:00.0000000 +00:00,2021-08-18 00:00:00.0000000 +00:00,2005-02-09 00:00:00.0000000 +00:00,2013-07-25 00:00:00.0000000 +00:00,2018-11-19 00:00:00.0000000 +00:00,2020-01-17 00:00:00.0000000 +00:00,2022-01-18 00:00:00.0000000 +00:00,2005-02-09 17:00:00.0000000 +00:00,2013-02-13 17:00:00.0000000 +00:00,,,,2018-12-12 00:00:00.0000000 +00:00,2022-09-20 00:00:00.0000000 +00:00,2005-02-09 17:00:00.0000000 +00:00,,2013-02-13 17:00:00.0000000 +00:00,,2015-12-10 00:00:00.0000000 +00:00,2015-12-10 00:00:00.0000000 +00:00,2015-12-10 00:00:00.0000000 +00:00,2015-12-10 00:00:00.0000000 +00:00,,,,,,,2018-12-12 00:00:00.0000000 +00:00,,2019-09-20 00:00:00.0000000 +00:00,,2022-09-20 00:00:00.0000000 +00:00,,2024-08-18 00:00:00.0000000 +00:00,2025-09-20 00:00:00.0000000 +00:00,,2025-09-20 00:00:00.0000000 +00:00,,,
HWQ787B3,Y,2011-01-11 00:00:00.0000000 +00:00,2013-06-17 00:00:00.0000000 +00:00,2016-03-29 00:00:00.0000000 +00:00,2018-05-22 00:00:00.0000000 +00:00,2019-04-20 00:00:00.0000000 +00:00,2011-01-11 00:00:00.0000000 +00:00,2013-01-15 00:00:00.0000000 +00:00,2014-01-15 00:00:00.0000000 +00:00,2014-07-15 00:00:00.0000000 +00:00,2015-07-14 00:00:00.0000000 +00:00,2011-01-11 00:00:00.0000000 +00:00,2013-06-30 00:00:00.0000000 +00:00,2014-07-02 00:00:00.0000000 +00:00,2014-12-30 00:00:00.0000000 +00:00,2015-12-29 00:00:00.0000000 +00:00,2011-01-11 12:00:00.0000000 +00:00,2013-06-17 00:00:00.0000000 +00:00,2016-03-29 00:00:00.0000000 +00:00,,,2016-03-29 00:00:00.0000000 +00:00,,2011-01-11 12:00:00.0000000 +00:00,,2013-06-17 00:00:00.0000000 +00:00,,2013-11-20 00:00:00.0000000 +00:00,2013-11-20 00:00:00.0000000 +00:00,2013-11-20 00:00:00.0000000 +00:00,2013-11-20 00:00:00.0000000 +00:00,,,,,,,2016-03-29 00:00:00.0000000 +00:00,,2018-05-22 00:00:00.0000000 +00:00,,2019-04-20 00:00:00.0000000 +00:00,,2018-07-12 00:00:00.0000000 +00:00,2022-04-18 00:00:00.0000000 +00:00,,2022-04-18 00:00:00.0000000 +00:00,,,
HWQ788,Y,2012-02-10 00:00:00.0000000 +00:00,2014-10-01 00:00:00.0000000 +00:00,,,,2012-02-10 00:00:00.0000000 +00:00,2014-10-01 00:00:00.0000000 +00:00,,,,2012-02-10 00:00:00.0000000 +00:00,2013-12-29 00:00:00.0000000 +00:00,2016-06-30 00:00:00.0000000 +00:00,2017-03-30 00:00:00.0000000 +00:00,2018-03-30 00:00:00.0000000 +00:00,2012-02-10 12:00:00.0000000 +00:00,2014-10-01 00:00:00.0000000 +00:00,,,,,,,,,,2016-03-24 00:00:00.0000000 +00:00,2018-05-01 00:00:00.0000000 +00:00,,,,,,,,,,,,,,,,,,,,,
HWQ985,Y,2008-09-02 00:00:00.0000000 +00:00,2010-12-21 00:00:00.0000000 +00:00,2014-04-14 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,2018-03-14 00:00:00.0000000 +00:00,2008-09-02 00:00:00.0000000 +00:00,2009-09-15 00:00:00.0000000 +00:00,2011-01-17 00:00:00.0000000 +00:00,2011-10-16 00:00:00.0000000 +00:00,2013-04-15 00:00:00.0000000 +00:00,2008-09-02 00:00:00.0000000 +00:00,2010-07-14 00:00:00.0000000 +00:00,2014-12-12 00:00:00.0000000 +00:00,2015-09-10 00:00:00.0000000 +00:00,2017-03-10 00:00:00.0000000 +00:00,2008-09-02 12:00:00.0000000 +00:00,2010-12-21 12:00:00.0000000 +00:00,2014-04-14 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,,2014-04-14 00:00:00.0000000 +00:00,2018-03-14 00:00:00.0000000 +00:00,2008-09-02 12:00:00.0000000 +00:00,2008-09-02 12:00:00.0000000 +00:00,2010-12-21 12:00:00.0000000 +00:00,2010-12-21 12:00:00.0000000 +00:00,2010-03-15 00:00:00.0000000 +00:00,2012-04-30 00:00:00.0000000 +00:00,2012-04-30 00:00:00.0000000 +00:00,2012-04-30 00:00:00.0000000 +00:00,2012-04-30 00:00:00.0000000 +00:00,,,,,,2014-04-14 00:00:00.0000000 +00:00,2014-04-14 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,2015-06-29 00:00:00.0000000 +00:00,2018-03-14 00:00:00.0000000 +00:00,2018-03-14 00:00:00.0000000 +00:00,2016-04-13 00:00:00.0000000 +00:00,2021-03-13 00:00:00.0000000 +00:00,,2021-03-13 00:00:00.0000000 +00:00,2021-03-13 00:00:00.0000000 +00:00,,
HWQF027C,Y,2008-11-25 00:00:00.0000000 +00:00,2009-12-09 00:00:00.0000000 +00:00,2012-03-25 00:00:00.0000000 +00:00,2012-07-14 00:00:00.0000000 +00:00,2017-02-22 00:00:00.0000000 +00:00,2008-11-25 00:00:00.0000000 +00:00,2009-08-03 00:00:00.0000000 +00:00,2010-09-29 00:00:00.0000000 +00:00,2011-04-04 00:00:00.0000000 +00:00,2013-05-07 00:00:00.0000000 +00:00,2008-11-25 00:00:00.0000000 +00:00,2009-11-20 00:00:00.0000000 +00:00,2011-07-30 00:00:00.0000000 +00:00,2013-05-06 00:00:00.0000000 +00:00,2019-09-01 00:00:00.0000000 +00:00,2008-11-25 00:00:00.0000000 +00:00,2009-12-09 00:00:00.0000000 +00:00,2012-03-25 00:00:00.0000000 +00:00,2012-07-14 00:00:00.0000000 +00:00,2017-02-22 00:00:00.0000000 +00:00,2012-03-25 00:00:00.0000000 +00:00,2017-02-22 00:00:00.0000000 +00:00,,,,,2009-10-20 00:00:00.0000000 +00:00,2010-03-10 00:00:00.0000000 +00:00,2010-03-10 00:00:00.0000000 +00:00,,,2010-05-12 00:00:00.0000000 +00:00,2010-11-10 00:00:00.0000000 +00:00,2010-11-10 00:00:00.0000000 +00:00,,,,,,,,,,2018-02-22 00:00:00.0000000 +00:00,2018-02-22 00:00:00.0000000 +00:00,,,,
HWQF027D,Y,2015-08-25 00:00:00.0000000 +00:00,2015-10-20 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2015-08-25 00:00:00.0000000 +00:00,2015-10-26 00:00:00.0000000 +00:00,2015-12-02 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2015-08-25 00:00:00.0000000 +00:00,2015-10-26 00:00:00.0000000 +00:00,2015-12-02 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2015-08-25 00:00:00.0000000 +00:00,2015-10-20 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2015-12-02 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2015-08-25 00:00:00.0000000 +00:00,2015-08-25 00:00:00.0000000 +00:00,2015-10-20 00:00:00.0000000 +00:00,2015-10-20 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2015-11-06 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2015-12-07 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-03-08 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2016-08-17 00:00:00.0000000 +00:00,2018-08-17 00:00:00.0000000 +00:00,2018-02-27 00:00:00.0000000 +00:00,,,2018-02-27 00:00:00.0000000 +00:00,,2017-09-05 12:01:58.2513715 -04:00
HWQF030,Y,2015-11-23 00:00:00.0000000 +00:00,2017-11-30 00:00:00.0000000 +00:00,2019-08-30 00:00:00.0000000 +00:00,2020-02-28 00:00:00.0000000 +00:00,2021-06-30 00:00:00.0000000 +00:00,2015-11-23 00:00:00.0000000 +00:00,2017-11-30 00:00:00.0000000 +00:00,2019-08-30 00:00:00.0000000 +00:00,2020-02-28 00:00:00.0000000 +00:00,2021-06-30 00:00:00.0000000 +00:00,,,,,,2015-11-23 17:00:00.0000000 +00:00,,,,,,,,,,,2018-11-30 00:00:00.0000000 +00:00,2018-11-30 00:00:00.0000000 +00:00,,,,2019-03-29 00:00:00.0000000 +00:00,2019-03-29 00:00:00.0000000 +00:00,,,,,,,,,,2022-06-30 00:00:00.0000000 +00:00,2022-06-30 00:00:00.0000000 +00:00,,,,,2017-10-10 15:13:37.4441945 -04:00
HWR00504,Y,2009-10-05 00:00:00.0000000 +00:00,2012-07-23 00:00:00.0000000 +00:00,2015-06-26 00:00:00.0000000 +00:00,2017-02-24 00:00:00.0000000 +00:00,2018-02-21 00:00:00.0000000 +00:00,2009-10-05 00:00:00.0000000 +00:00,2009-12-07 00:00:00.0000000 +00:00,2015-06-26 00:00:00.0000000 +00:00,2017-02-24 00:00:00.0000000 +00:00,2018-02-21 00:00:00.0000000 +00:00,2009-10-05 00:00:00.0000000 +00:00,2011-04-15 00:00:00.0000000 +00:00,2013-04-19 00:00:00.0000000 +00:00,2013-11-01 00:00:00.0000000 +00:00,2014-06-28 00:00:00.0000000 +00:00,2009-10-05 12:00:00.0000000 +00:00,2012-07-23 00:00:00.0000000 +00:00,2015-06-26 00:00:00.0000000 +00:00,2017-02-24 17:00:00.0000000 +00:00,,2015-06-26 00:00:00.0000000 +00:00,2018-02-21 00:00:00.0000000 +00:00,,2009-10-05 12:00:00.0000000 +00:00,,2012-07-23 00:00:00.0000000 +00:00,2015-01-22 00:00:00.0000000 +00:00,2015-01-22 00:00:00.0000000 +00:00,2015-01-22 00:00:00.0000000 +00:00,,2015-01-22 00:00:00.0000000 +00:00,,,,,,,2015-06-26 00:00:00.0000000 +00:00,,2017-02-24 17:00:00.0000000 +00:00,,2018-02-21 00:00:00.0000000 +00:00,2019-02-15 00:00:00.0000000 +00:00,2019-02-15 00:00:00.0000000 +00:00,,,2019-02-15 00:00:00.0000000 +00:00,,2017-10-24 11:03:27.3416454 -04:00
