ProjectId,FMSID,Benchmark (Y/N),DivisionName,UnitName,ProjectDescription,Scope,WebScope,Borough,ClientAgencyCode,Sponsor,PhaseName,ProjectType,Priority,DesignContractType,ConstructionContractType,SourceSystem,MultipleFMSIds,BenchmarkStatus,DesignFiscalYear,ConstructionFiscalYear,CreatedDate,ManageAgency
GNCB14-3A,GNCB14-3A,Y,Infrastructure,BROOKLYN,"GI IN THE NCB-014 CSO PH 3 TRIBUTARY AREA, STAGE 1","GREEN INFRASTRUCTURE IN THE NCB-014 PHASE 3 TRIBUTARY AREA, STAGE 1, BK","GREEN INFRASTRUCTURE IN THE NCB-014 PHASE 3 TRIBUTARY AREA, STAGE 1, BK",,,Environmental Protection,Cancelled Project,Other,Critical,Requirements TO,Requirements TO,PIMS,FALSE,,,,,
GQBB09-01,GQBB09-01,Y,Infrastructure,BRONX & N. QUEENS,"GI IN THE BB-09 CSO TRIBUTARY AREA, STAGE 1","GREEN INFRASTRUCTURE IN THE BB-009 CSO TRIBUTARY AREA, STAGE 1, QNS","GREEN INFRASTRUCTURE IN THE BB-009 CSO TRIBUTARY AREA, STAGE 1, QNS",Queens,,Environmental Protection,Construction 0-25%,Other,Critical,,,PIMS,FALSE,,,,,DDC
GQ-CM-01,GQ-CM-01,Y,Infrastructure,S. QUEENS,REI SERVICES FOR GQBB06-03/GQBB08-01/GQROWB-01,REI SERVICES FOR GQBB06-03/GQBB08-01/GQROWB-01,,Queens,,Environmental Protection,,New Construction,Critical,,,PIMS,FALSE,,,,,DDC
GQJA03-01,GQJA03-01,Y,Infrastructure,S. QUEENS,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,Queens,,Environmental Protection,Design Development,Sewer,Critical,,,PIMS,FALSE,,2016,2017,,DDC
GQJA03-02,GQJA03-02,Y,Infrastructure,S. QUEENS,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,"GREEN INFRASTRUCTURE FOR JAMAICA BAY, QUEENS.",Queens,,Environmental Protection,Final Design,Sewer,Critical,,,PIMS,FALSE,,2018,2019,,DDC
GQJA03-03,GQJA03-03,Y,Infrastructure,S. QUEENS,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,GI - GREEN INFRASTRUCTURE IN JAMAICA AREA,Queens,,Environmental Protection,Final Design,Sewer,Critical,,,PIMS,FALSE,,2016,2017,,DDC
GQTI03-23,GQTI03-23,Y,Infrastructure,BRONX & N. QUEENS,GREEN INFRASTRUCTURE IN TI-003 & TI-023 EAST RIVER,GI - GREEN INFRASTRUCTURE IN TI-003 & TI-023 EAST RIVER CSO,GI - GREEN INFRASTRUCTURE IN TI-003 & TI-023 EAST RIVER CSO,,,Environmental Protection,,,,,,Project Info,FALSE,,,,2017-11-06 13:00:21.6400000 +00:00,
GQTI10-01,GQTI10-01,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Final Design,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-01,GQTI10-02,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Final Design,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-02,GQTI10-02,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Final Design,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-02,GQTI10-03,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Final Design,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-03,GQTI10-03,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Design Development,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-03,GQTI10-04,Y,Infrastructure,BRONX & N. QUEENS,"GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUE","GI - DSGN & CONST OF BIOSWALES & GREENSTREETS, QUEENS","GI - DESIGN & CONSTRUCTION OF BIOSWALES & GREENSTREETS, QUEENS",Queens,,Environmental Protection,Design Development,New Construction,Critical,,,PIMS,TRUE,,2015,2018,,DDC
GQTI10-04,GQTI10-04,Y,Infrastructure,BRONX & N. QUEENS,GI-DSGN & CONST OF BIOSWALES & GREENSTREETS QUEENS,GI - DESIGN AND CONSTRUCTION OF BIOSWALES AND GREENSTREETS,GI - Design phase of Green Infrastructure in Flushing Creek,Queens,,Environmental Protection,Design Development,New Construction,Critical,,,PIMS,FALSE,,,,,DDC
GQTI11-22,GQTI11-22,Y,Infrastructure,BRONX & N. QUEENS,"GI - GREEN INFRASTRUCTURE IN TI-11 AND TI-22, QNS","GI - GREEN INFRASTRUCTURE IN TI-11 AND TI-22, QNS","GI - GREEN INFRASTRUCTURE IN TI-11 AND TI-22, QUEENS",Queens,,Environmental Protection,Final Design,Sewer,Critical,,,PIMS,FALSE,,2015,2017,,DDC
GRANSTBID,GRANSTBID,Y,Infrastructure,BROOKLYN,GRAND ST. STREETSCAPE IMPROVEMENTS,Replace/reconstruct the existing curb and sidewalk on both sides of the Grand street from Union Street to Bushwick Avenue and curb extensions at key intersections.,Replace/reconstruct the existing curb and sidewalk on both sides of the Grand street from Union Street to Bushwick Avenue and curb extensions at key intersections,Brooklyn,,Transportation,Substantial Completion,Sidewalks,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,2013,2015,,DDC
GRINFRA01,GRINFRA01,Y,Infrastructure,Bronx & N. Queens,GREEN INFRASTRUCTURE DESIGN REQUIREMENT CONTRACT,Green Infrastructure in Hutchinson River Area,"Design contract for green infrastructure improvements in the Hutchinson River area.
",Bronx,,Environmental Protection,Cancelled Project,Other,Standard,Standard Consultant,Requirements TO,PIMS,FALSE,,,,,DDC
GRINFRA02,GRINFRA02,Y,Infrastructure,Bronx & N. Queens,GREEN INFRASTRUCTURE DESIGN REQUIREMENT CONTRACT,Green Infrastructure in Newtown Creek Area,Design contract for green infrastructure improvements in the Newtown Creek area.,Queens,,Environmental Protection,Design Development,Other,Standard,Standard Consultant,Requirements TO,PIMS,FALSE,,,,,DDC
GXHP24-01,GXHP24-01,Y,Infrastructure,BRONX & N. QUEENS,"GREEN INFRASTRUCTURE IN HUTCHINSON RIVER AREA, PH1",Design Contract for Green Infrastructure in Hutchinson River Area,Design phase for Green Infrastructure in Hutchinson River Area,Bronx,,Environmental Protection,Cancelled Project,Sewer,Standard,In-House/Consultant,Requirements TO,PIMS,FALSE,,2013,,,DDC
HAM16MRCC,HAM16MRCC,Y,Public Buildings,HUMAN SERVICES,"Weeksville Gardens-BKLYN Kindergarten , asbestos",To renovation and convert the existing community center at Weeksville Gardens in Brooklyn into a Pre-Kindergarten program for early childhood education.,Renovation of existing community center to convert to Universal Pre-Kindergarten program for early childhood education.,Brooklyn,,HPD,Completed Project,Renovation,Critical,None,JOCS,PIMS,FALSE,,,,,DDC
HBMA24529,HBMA24529,Y,Infrastructure,EXECUTIVE,WEST 155TH ST PED BRIDGE OVER AMTRAK BIN:224529,"REHABILITATION/REPLACEMENT OF WEST 155TH STREET PEDESTRIAN BRIDGE OVER AMTRAK - WEST SIDE CONNECTION (BIN:2-24529-0), BOROUGH OF MANHATTAN.",,,,Transportation,,,,,,Project Info,FALSE,,,,2017-10-05 13:00:19.0670000 +00:00,
HBMA24662,HBMA24662,Y,Infrastructure,MANHATTAN & CITYWIDE,"E128th Street Pedestrian Bridge, Manhattan",Rehabilitation or replacement of the E 128th Street Pedestrian Bridge over 3rd Avenue in Manhattan,,,,Transportation,,,,,,Project Info,FALSE,,,,2017-12-01 07:00:24.2230000 +00:00,
HBPED100M,HBPED100M,Y,Infrastructure,MANHATTAN & CITYWIDE,"E 81 STREET PEDESTRIAN BRIDGE OVER FDR, MANHATTAN","E 81 STREET PEDESTRIAN BRIDGE OVER FDR, MANHATTAN","E 81 STREET PEDESTRIAN BRIDGE OVER FDR, MANHATTAN",Manhattan,,Parks & Recreation,Construction 75%-Subst.,New Construction,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,,2014,,DDC
PW311T07D,PW311T07D,N,Safety and Site Support,Site Engineering,structures surveys manhattan,,,,,,,,,,,,,,,,,
PW311T07E,PW311T07E,N,Safety and Site Support,Site Engineering,surveys topo queens,,,,,,,,,,,,,,,,,
PW311T95B,PW311T95B,N,Safety and Site Support,Site Engineering,Topographical Services Citywide,,,,,,,,,,,,,,,,,
HBPED100Q,HBPED100Q,Y,Infrastructure,Bronx & N. Queens,PEDESTRIAN BRIDGES AT 51 AV,"51st Avenue, Pedestrian Bridges over LIRR in the borough of Queens

(East 81st Street Pedestrian Bridge over FDR in the borough of Manhattan removed from this Contract and placed in HBPED100M)

(216th Street Pedestrian Bridges over LIRR in the borough of Queens removed from this Contract and placed in HBPED216S)",Replace pedestrian bridge over the LIRR at 51st Avenue.,Queens,,Transportation,Final Design,Other,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,,,,DDC
HBPED216S,HBPED216S,Y,Infrastructure,BRONX & N. QUEENS,PED BRIDGE 216 ST QUEENS,DEMOLITION OF PEDESTRIAN BRIDGE AT 216TH STREET OVER L.I.R.R.,DEMOLITION OF PEDESTRIAN BRIDGE AT 216TH STREET OVER L.I.R.R.,,,Transportation,Compliance,Other,Standard,Requirement Contract,Requirement Contract,PIMS,FALSE,,,,2017-12-14 13:00:23.5200000 +00:00,
HBPED700E,HBPED700E,Y,Infrastructure,BRONX & N. QUEENS,"EMERGENCY REPAIR - PASSERELLE BRIDGE, QUEENS",PASSERELLE BRIDGE - EMERGENCY REPAIR CONTRACT,PASSERELLE BRIDGE - EMERGENCY REPAIR CONTRACT,Queens,,Parks & Recreation,Completed Project,Renovation,Critical,,,PIMS,FALSE,,2014,2014,,DDC
HBPED700Q,HBPED700Q,Y,Infrastructure,BRONX & N. QUEENS,"FMCP - PASSERELLE PEDESTRIAN BRIDGE, QNS",Preliminary study for Reconstruction or Rehabilition of Passerelle Overpass in the Flushing Meadows-Corona park.,Preliminary study for Reconstruction or Rehabilition of Passerelle Overpass in the Flushing Meadows-Corona park,Queens,,Parks & Recreation,Completed Project,Other,Standard,Requirements TO,Requirements TO,PIMS,FALSE,,,,,DDC
HBPED800Q,HBPED800Q,Y,Infrastructure,BRONX & N. QUEENS,PORPOISE BRIDGE IN FLUSHING MEADOWS-CORONA PARK,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,Feasibility Study for the repair and or restoration for Porpoise (Tide Gate)  Bridge in Flushing Meadows Corona Park.,Queens,,Transportation,Pre-Design/PrgDevelopment,Other,Standard,Requirements TO,None,PIMS,FALSE,,2015,,,DDC
HBPEDMRS,HBPEDMRS,Y,Infrastructure,MANHATTAN & CITYWIDE,MORRIS ST. PEDESTRIAN BRIDGE REPLACEMENT,"Replacement of pedestrian bridge superstructures and necessary portions of Morris St. Pedestrian Bridge over Brooklyn Battery Tunnel Plaza, BIN 2-20893-0, along with provisions for ADA compliant ramps where feasible.","Replacement of pedestrian bridge superstructures and necessary portions of Morris St. Pedestrian Bridge over Brooklyn Battery Tunnel Plaza, BIN 2-20893-0, along with provisions for ADA compliant ramps where feasible.",,,Transportation,On-Hold,Other,Standard,Standard Consultant,Standard Consultant,PIMS,FALSE,,,,,
HBQA70551,HBQA70551,Y,Infrastructure,EXECUTIVE,167TH ST PED BRIDGE OVER LIRR  BIN 7705510,"REHABILITATION/REPLACEMENT OF 167TH STREET PEDESTRIAN BRIDGE OVER LIRR PORT WASHINGTON BRANCH (BIN 7-70551-0), BOROUGH OF QUEENS",,,,Transportation,,,,,,Project Info,FALSE,,,,2017-10-05 13:00:20.3830000 +00:00,
HD153C1,HD-153C1,Y,Infrastructure,S. Queens,EDGEMERE (PHASE C1) - (INCLUDING SEQ002562/200406),"Project Limit / Locations

Edgemere Phase C1, Construction of Infrastructure, including street, sidewalk, storm and sanitary sewers and water main. This Phase  includes 
Beach 43rd north of Beach Channel Drive to the Conch Basin
Beach 44th north of Beach Channel Drive to the Conch Basin
Beach 45th north of Beach Channel Drive to the Conch Basin
Hantz Rd. between B44 and B45 street
Norton Ave. between B44 and B45 street
Edgemere Dr
Conch Rd.","New streets, sidewalks, storm and sanitary sewers and water mains: 43rd, 44th, and 45th Streets north of Beach Channel Drive, including sections of Hantz Road, Norton Avenue, Edgemere Drive and Conch Road within this area.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Requirements TO,PIMS,FALSE,,,,,
HD153C1,SEQ002562,Y,Infrastructure,S. Queens,EDGEMERE (PHASE C1) - (INCLUDING SEQ002562/200406),"Project Limit / Locations

Edgemere Phase C1, Construction of Infrastructure, including street, sidewalk, storm and sanitary sewers and water main. This Phase  includes 
Beach 43rd north of Beach Channel Drive to the Conch Basin
Beach 44th north of Beach Channel Drive to the Conch Basin
Beach 45th north of Beach Channel Drive to the Conch Basin
Hantz Rd. between B44 and B45 street
Norton Ave. between B44 and B45 street
Edgemere Dr
Conch Rd.","New streets, sidewalks, storm and sanitary sewers and water mains: 43rd, 44th, and 45th Streets north of Beach Channel Drive, including sections of Hantz Road, Norton Avenue, Edgemere Drive and Conch Road within this area.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Requirements TO,PIMS,FALSE,,,,,
HD153C1,SEQ200406,Y,Infrastructure,S. Queens,EDGEMERE (PHASE C1) - (INCLUDING SEQ002562/200406),"Project Limit / Locations

Edgemere Phase C1, Construction of Infrastructure, including street, sidewalk, storm and sanitary sewers and water main. This Phase  includes 
Beach 43rd north of Beach Channel Drive to the Conch Basin
Beach 44th north of Beach Channel Drive to the Conch Basin
Beach 45th north of Beach Channel Drive to the Conch Basin
Hantz Rd. between B44 and B45 street
Norton Ave. between B44 and B45 street
Edgemere Dr
Conch Rd.","New streets, sidewalks, storm and sanitary sewers and water mains: 43rd, 44th, and 45th Streets north of Beach Channel Drive, including sections of Hantz Road, Norton Avenue, Edgemere Drive and Conch Road within this area.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Requirements TO,PIMS,FALSE,,,,,
HD153C2,HD-153C2,Y,Infrastructure,S. Queens,"EDGEMERE (PHASE C2), Including SEQ200421/SEQ002576","Project Limit / Locations:
Norton Avenue between B49th St. and B45th St.
Intersection of Elizabeth Avenue, and Norton Avenue, and B49th Street
Elizabeth Avenue between B49th Street and B51st Street
B51st Street between Alameda Avenue and Beach Channel Drive
B46th Street between Rockaway Beach Boulevard and Norton Avenue
B47th Street between Rockaway Beach Boulevard and Norton Avenue
B48th Street between Rockaway Beach Boulevard and Norton Avenue
B49th Street between Rockaway Beach Boulevard and Norton Avenue
Beach Channel Drive between B49th Street and B45th Street
Rockaway Beach Boulevard between B49th Street and B45th Street","New streets, sidewalks, storm and sanitary sewers and water mains: 46th, 47th, 48th and 49th Streets between Norton Avenue and Rockaway Beach Boulevard, including sections of Norton and Elizabeth Avenues, 51st Street, Beach Channel Drive and Rockaway Beach Boulevard.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HED553,HED-553,Y,Infrastructure,BRONX & N. QUEENS,TRUNK WATER MAIN IN SOUTHERN BLVD (w/ SEX002245),"Replacement of water main and sewer work on Southern Boulevard from Boston Road to Westchester Ave.

Water main replacemnt on Boston Road from East Tremont Ave to E 179th Street.","Replacement of water main and sewer work on Southern Boulevard from Boston Road to Westchester Ave.

Water main replacemnt on Boston Road from East Tremont Ave to E 179th Street.",Bronx,,Environmental Protection,Construction 0-25%,Water,Standard,In-House,Standard Consultant,PIMS,TRUE,,2013,2015,,DDC
PW335A21,PW335A21 ,N,Safety and Site Support,HAZMAT,Asbestos Abatement Citywide,,,,,,,,,,,,,,,,,
PW335A22,PW335A22 ,N,Safety and Site Support,HAZMAT,Asbestos Abatement Citywide,,,,,,,,,,,,,,,,,
PW335A23,PW335A23 ,N,Safety and Site Support,HAZMAT,Asbestos Abatement Contract #23,,,,,,,,,,,,,,,,,
PW335A24,PW335A24 ,N,Safety and Site Support,HAZMAT,Asbestos Abatement #24,,,,,,,,,,,,,,,,,
PW335A25,PW335A25 ,N,Safety and Site Support,HAZMAT,Asbestos Abatement Citywide,,,,,,,,,,,,,,,,,
HD153C2,SEQ002576,Y,Infrastructure,S. Queens,"EDGEMERE (PHASE C2), Including SEQ200421/SEQ002576","Project Limit / Locations:
Norton Avenue between B49th St. and B45th St.
Intersection of Elizabeth Avenue, and Norton Avenue, and B49th Street
Elizabeth Avenue between B49th Street and B51st Street
B51st Street between Alameda Avenue and Beach Channel Drive
B46th Street between Rockaway Beach Boulevard and Norton Avenue
B47th Street between Rockaway Beach Boulevard and Norton Avenue
B48th Street between Rockaway Beach Boulevard and Norton Avenue
B49th Street between Rockaway Beach Boulevard and Norton Avenue
Beach Channel Drive between B49th Street and B45th Street
Rockaway Beach Boulevard between B49th Street and B45th Street","New streets, sidewalks, storm and sanitary sewers and water mains: 46th, 47th, 48th and 49th Streets between Norton Avenue and Rockaway Beach Boulevard, including sections of Norton and Elizabeth Avenues, 51st Street, Beach Channel Drive and Rockaway Beach Boulevard.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HD153C2,SEQ200421,Y,Infrastructure,S. Queens,"EDGEMERE (PHASE C2), Including SEQ200421/SEQ002576","Project Limit / Locations:
Norton Avenue between B49th St. and B45th St.
Intersection of Elizabeth Avenue, and Norton Avenue, and B49th Street
Elizabeth Avenue between B49th Street and B51st Street
B51st Street between Alameda Avenue and Beach Channel Drive
B46th Street between Rockaway Beach Boulevard and Norton Avenue
B47th Street between Rockaway Beach Boulevard and Norton Avenue
B48th Street between Rockaway Beach Boulevard and Norton Avenue
B49th Street between Rockaway Beach Boulevard and Norton Avenue
Beach Channel Drive between B49th Street and B45th Street
Rockaway Beach Boulevard between B49th Street and B45th Street","New streets, sidewalks, storm and sanitary sewers and water mains: 46th, 47th, 48th and 49th Streets between Norton Avenue and Rockaway Beach Boulevard, including sections of Norton and Elizabeth Avenues, 51st Street, Beach Channel Drive and Rockaway Beach Boulevard.",,,Environmental Protection,Substantial Completion,Street Reconstruction,Standard,In-House,Standard Consultant,PIMS,FALSE,,,,,
HD161C,HD-161C,Y,Infrastructure,Brooklyn,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Roadway reconstruction, including sanitary and storm sewers, water main, traffic management and street lighting: Gateway Estates area of East New York, Brooklyn.
",Brooklyn,,HPD,Cancelled Project,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,,,,DDC
HD161C,SEK002353,Y,Infrastructure,Brooklyn,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Roadway reconstruction, including sanitary and storm sewers, water main, traffic management and street lighting: Gateway Estates area of East New York, Brooklyn.
",Brooklyn,,HPD,Cancelled Project,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,,,,DDC
HD161C,SEK20056,Y,Infrastructure,Brooklyn,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Roadway reconstruction, including sanitary and storm sewers, water main, traffic management and street lighting: Gateway Estates area of East New York, Brooklyn.
",Brooklyn,,HPD,Cancelled Project,Street Reconstruction,Standard,Standard Consultant,Standard Consultant,PIMS,TRUE,,,,,DDC
HD-161C,HD-161C,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C",Brooklyn,,HPD,Substantial Completion,Street Reconstruction,Standard,Requirements TO,Requirement Contract,PIMS,TRUE,,2012,2013,,DDC
HD-161C,SEK002353,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C",Brooklyn,,HPD,Substantial Completion,Street Reconstruction,Standard,Requirements TO,Requirement Contract,PIMS,TRUE,,2012,2013,,DDC
HD-161C,SEK20056,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE C,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C

Scope of project :-
Schroeders Ave. from Elton St. to Erskine St.
Erskine St. from Flatlands Ave. to limit of the project
Berriman St. from Vandalia Ave. to Schroeders Ave.
Vandalia Ave. from Berriman St. to Fountain Ave.
Egan St. from Erskine St. to Fountain Ave.
Milford St. from Egan St. to Vandalia Ave.
Fountain Ave. from Vandalia Ave. to Egan St.","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. Phase C",Brooklyn,,HPD,Substantial Completion,Street Reconstruction,Standard,Requirements TO,Requirement Contract,PIMS,TRUE,,2012,2013,,DDC
PW335AS13,PW335AS13,N,Safety and Site Support,HAZMAT,Air Sampling Contract #13,,,,,Unknown,,,,,,,,,,,,
PW335AS14,PW335AS14,N,Safety and Site Support,HAZMAT,AIR SAMPLING VARIOUS LOCATIONS,,,,,Unknown,,,,,,,,,,,,
PW335AS15,PW335AS15,N,Safety and Site Support,HAZMAT,Air Sampling #15,,,,,,,,,,,,,,,,,
PW335AS16,PW335AS16,N,Safety and Site Support,HAZMAT,Air Sampling Contract #16,,,,,,,,,,,,,,,,,
PW335AS17,PW335AS17,N,Safety and Site Support,HAZMAT,Air Sampling Contract #17,,,,,,,,,,,,,,,,,
PW335AS18,PW335AS18,N,Safety and Site Support,HAZMAT,Air Sampling Citywide #18,,,,,,,,,,,,,,,,,
PW335AS19,PW335AS19,N,Safety and Site Support,HAZMAT,Air Sampling Citywide,,,,,,,,,,,,,,,,,
HD-161D,HD-161D,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE D/SEK002354,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D

Final Scope 
--------------------------------------------------------------------------------
1. Vandalia Ave                   Gateway Drive                  250 L.F. east of Elton Street
2. Schroeders Ave              Gateway Drive                  250 L.F. east of Elton Street
3. Gateway Drive                 Vandalia Ave.                   250 L.F. south of Schroeders Avenue
4. Jerome Street                   Vandalia Avenue              Schroeders Avenue
5. Walker Street                    Vandalia Avenue              Schroeders Avenue
6. Lower Ashford Street      Schroeders Avenue         250 L. F. North of Vandalia Avenue","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D",Brooklyn,,HPD,Construction 50-75%,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,2012,2013,,DDC
HD-161D,SEK002354,Y,Infrastructure,BROOKLYN,GATEWAY ESTATE - PHASE D/SEK002354,"Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D

Final Scope 
--------------------------------------------------------------------------------
1. Vandalia Ave                   Gateway Drive                  250 L.F. east of Elton Street
2. Schroeders Ave              Gateway Drive                  250 L.F. east of Elton Street
3. Gateway Drive                 Vandalia Ave.                   250 L.F. south of Schroeders Avenue
4. Jerome Street                   Vandalia Avenue              Schroeders Avenue
5. Walker Street                    Vandalia Avenue              Schroeders Avenue
6. Lower Ashford Street      Schroeders Avenue         250 L. F. North of Vandalia Avenue","Reconstruction of Gateway Estates Area (Nehemiah Creek) including sewer, watermain, street lighting and traffic signal work. - Phase D",Brooklyn,,HPD,Construction 50-75%,Street Reconstruction,Standard,Requirements TO,Requirements TO,PIMS,TRUE,,2012,2013,,DDC
